id,name,slug,description,icon,display_order,is_active,created_at,updated_at
5731bf69-ea5d-4a52-8730-6d034d1d2a36,Activities and Scheduling,activities-scheduling,"Tasks, events, calendar, and time tracking",CalendarDays,5,true,2026-01-18 04:03:56.498175+00,2026-01-18 04:03:56.498175+00
9558beac-b064-4d6f-b6ff-ea2f6cd94bc5,Billing and Finances,billing-finances,"Time tracking, expenses, invoicing, and retainers",DollarSign,8,true,2026-01-18 04:03:56.498175+00,2026-01-18 04:03:56.498175+00
9465f035-71fe-43e1-b505-1ccab82412ac,Case Lifecycle and Status,case-lifecycle-status,"Status system, phase management, and workflow controls",GitBranch,4,true,2026-01-18 04:03:56.498175+00,2026-01-18 04:03:56.498175+00
fdd236a1-08e8-4142-b36b-a2933705ebbb,Case Management,case-management,Day-to-day case operations for investigators and managers,Briefcase,3,true,2026-01-18 04:03:56.498175+00,2026-01-18 04:03:56.498175+00
427757b2-285b-4123-8ec6-a3f2542d0357,Case Requests and Intake,case-requests-intake,Public intake forms through case creation workflows,Inbox,2,true,2026-01-18 04:03:56.498175+00,2026-01-18 04:03:56.498175+00
18ae82d9-9b27-4b9d-8f25-221a13335093,Evidence and Attachments,evidence-attachments,"File management, chain of custody, and evidence integrity",FileCheck,7,true,2026-01-18 04:03:56.498175+00,2026-01-18 04:03:56.498175+00
3d4a607f-7b6b-4cb3-8cdb-abdc3ba244c0,External Access,external-access,Vendor portal and client-facing features,ExternalLink,11,true,2026-01-18 04:03:56.498175+00,2026-01-18 04:03:56.498175+00
508b03df-d788-4f61-8543-f1e57a5b3af4,Getting Started,getting-started,First-time orientation and platform fundamentals for all new users,Rocket,1,true,2026-01-18 04:03:56.498175+00,2026-01-18 04:03:56.498175+00
16727465-f94f-4e21-805a-bdfda95ea14a,Organization Settings,organization-settings,System configuration and organization management,Settings,12,true,2026-01-18 04:03:56.498175+00,2026-01-18 04:03:56.498175+00
5dbe60f4-b68c-4810-92b9-5eae3e76b231,Reports and Exports,reports-exports,"Document generation, professional deliverables, and data exports",FileOutput,9,true,2026-01-18 04:03:56.498175+00,2026-01-18 04:03:56.498175+00
b25294d3-c45f-4646-9851-22309bc92e89,Security and Access Control,security-access-control,"Permissions, audit trails, and compliance",Shield,10,true,2026-01-18 04:03:56.498175+00,2026-01-18 04:03:56.498175+00
454fab66-2327-42e0-919a-22da6800add0,Updates and Documentation,updates-documentation,"Case narratives, activity timelines, and investigative documentation",FileText,6,true,2026-01-18 04:03:56.498175+00,2026-01-18 04:03:56.498175+00
